street_name,chars
הרצל פנת ק ב,ה ר צ ל   פ נ ת   ק   ב
חרדל,ח ר ד ל
ספארטאקוס,ס פ א ר ט א ק ו ס
וסה,ו ס ה
א שדיד פתוח,א   ש ד י ד   פ ת ו ח
אלספאח,א ל ס פ א ח
ככר סגל שרגא,כ כ ר   ס ג ל   ש ר ג א
שכ רותם,ש כ   ר ו ת ם
מרג בן עאמר,מ ר ג   ב ן   ע א מ ר
ש אל קימה,ש   א ל   ק י מ ה
פרופ ליבוביץ ישעיהו,פ ר ו פ   ל י ב ו ב י ץ   י ש ע י ה ו
נטרונאי,נ ט ר ו נ א י
גונן קטמון,ג ו נ ן   ק ט מ ו ן
ימין אורד,י מ י ן   א ו ר ד
סמ אשליל,ס מ   א ש ל י ל
לחמי,ל ח מ י
ג'ו אלון,ג ' ו   א ל ו ן
אלבנאא,א ל ב נ א א
יעבץ סמ,י ע ב ץ   ס מ
מד שוקרי,מ ד   ש ו ק ר י
שנף,ש נ ף
אזור תעשייה מזרח,א ז ו ר   ת ע ש י י ה   מ ז ר ח
נוה אבות אפעל,נ ו ה   א ב ו ת   א פ ע ל
שכ בית יעקב,ש כ   ב י ת   י ע ק ב
גר צדק,ג ר   צ ד ק
אחוזת אהרון,א ח ו ז ת   א ה ר ו ן
סמ חופית,ס מ   ח ו פ י ת
עודד נדה,ע ו ד ד   נ ד ה
מורד ההדרים,מ ו ר ד   ה ה ד ר י ם
זקס אפרים,ז ק ס   א פ ר י ם
אל עאמר,א ל   ע א מ ר
יוניצמן,י ו נ י צ מ ן
דישונים סמ,ד י ש ו נ י ם   ס מ
אל תופאח,א ל   ת ו פ א ח
עזר ומרזוק,ע ז ר   ו מ ר ז ו ק
הרב יחיא,ה ר ב   י ח י א
ונסן,ו נ ס ן
רמה,ר מ ה
דרב אל סראר,ד ר ב   א ל   ס ר א ר
ש עזרה בצרון,ש   ע ז ר ה   ב צ ר ו ן
גומברג,ג ו מ ב ר ג
ג'ורת אבו כמרה,ג ' ו ר ת   א ב ו   כ מ ר ה
קרית עשור,ק ר י ת   ע ש ו ר
פתן,פ ת ן
סמ יהוא,ס מ   י ה ו א
תדמר,ת ד מ ר
אשרוב,א ש ר ו ב
אל קוליה,א ל   ק ו ל י ה
שד האלוף מאיר עמית,ש ד   ה א ל ו ף   מ א י ר   ע מ י ת
בוקסנבאום יוסף,ב ו ק ס נ ב א ו ם   י ו ס ף
דרך ביטחון,ד ר ך   ב י ט ח ו ן
ריינס יצחק הרב,ר י י נ ס   י צ ח ק   ה ר ב
גרוסברד צבי שרגא,ג ר ו ס ב ר ד   צ ב י   ש ר ג א
נאות גזית,נ א ו ת   ג ז י ת
שכ אלשאגור,ש כ   א ל ש א ג ו ר
אלבטיח'ה,א ל ב ט י ח ' ה
גבעתים,ג ב ע ת י ם
סמטת נוף ילדות,ס מ ט ת   נ ו ף   י ל ד ו ת
העסקים,ה ע ס ק י ם
חוף התמרים,ח ו ף   ה ת מ ר י ם
פנסיון שקדים,פ נ ס י ו ן   ש ק ד י ם
מבוא וולקר יוסף,מ ב ו א   ו ו ל ק ר   י ו ס ף
סמ האנקור,ס מ   ה א נ ק ו ר
איזקוביץ,א י ז ק ו ב י ץ
מסג'ד אל-הודא,מ ס ג ' ד   א ל - ה ו ד א
משה אידלבאום,מ ש ה   א י ד ל ב א ו ם
שדרות וייצמן עזר,ש ד ר ו ת   ו י י צ מ ן   ע ז ר
עבד אלרחמאן,ע ב ד   א ל ר ח מ א ן
שביל צ'לו,ש ב י ל   צ ' ל ו
הרב לופז,ה ר ב   ל ו פ ז
רח מח,ר ח   מ ח
ממונה ב נזרי,מ מ ו נ ה   ב   נ ז ר י
ש דיגים,ש   ד י ג י ם
מחנה טלי,מ ח נ ה   ט ל י
שכ הדר השרון,ש כ   ה ד ר   ה ש ר ו ן
מוסד ברנר,מ ו ס ד   ב ר נ ר
גורת,ג ו ר ת
חמוד,ח מ ו ד
אפרים זקש,א פ ר י ם   ז ק ש
גאולים,ג א ו ל י ם
שלמה דרדשי,ש ל מ ה   ד ר ד ש י
נחל ייטב,נ ח ל   י י ט ב
מרכז קליטה בורסה,מ ר כ ז   ק ל י ט ה   ב ו ר ס ה
חרמוני,ח ר מ ו נ י
הרב אשר דדון,ה ר ב   א ש ר   ד ד ו ן
אל-צפא,א ל - צ פ א
אלספחה,א ל ס פ ח ה
שבי-ציון,ש ב י - צ י ו ן
האהבה,ה א ה ב ה
הפטרארכיה הארמנית,ה פ ט ר א ר כ י ה   ה א ר מ נ י ת
ויינברג שמואל,ו י י נ ב ר ג   ש מ ו א ל
ככר בן גוריון,כ כ ר   ב ן   ג ו ר י ו ן
רח לא כ שלם,ר ח   ל א   כ   ש ל ם
מבוא התיכון,מ ב ו א   ה ת י כ ו ן
מוריה שד,מ ו ר י ה   ש ד
נוה שיר,נ ו ה   ש י ר
רח פב התקוה,ר ח   פ ב   ה ת ק ו ה
שדרת התקוות,ש ד ר ת   ה ת ק ו ו ת
אל ע'אר,א ל   ע ' א ר
תבוכ,ת ב ו כ
ראבטה אל עדאוויה,ר א ב ט ה   א ל   ע ד א ו ו י ה
שפיגל,ש פ י ג ל
טג'יר שמואל וסולטנה,ט ג ' י ר   ש מ ו א ל   ו ס ו ל ט נ ה
הרצל מוסד,ה ר צ ל   מ ו ס ד
"הר חזון מ""ר","ה ר   ח ז ו ן   מ "" ר"
אוריאלי זכריהו,א ו ר י א ל י   ז כ ר י ה ו
משעול הורד,מ ש ע ו ל   ה ו ר ד
גינת אגוז,ג י נ ת   א ג ו ז
מלר יוסף צבי,מ ל ר   י ו ס ף   צ ב י
עבדת צור יגאל,ע ב ד ת   צ ו ר   י ג א ל
רבי אנקווה רפאל,ר ב י   א נ ק ו ו ה   ר פ א ל
חיים ילין,ח י י ם   י ל י ן
קש מלון גת,ק ש   מ ל ו ן   ג ת
ש נווה רם,ש   נ ו ו ה   ר ם
בורוכוב ירון,ב ו ר ו כ ו ב   י ר ו ן
ש נוה עזר,ש   נ ו ה   ע ז ר
אל מלכי,א ל   מ ל כ י
הדני אלדד,ה ד נ י   א ל ד ד
הרמתי כהן שלום,ה ר מ ת י   כ ה ן   ש ל ו ם
מחרוזת,מ ח ר ו ז ת
ג'בל סיח',ג ' ב ל   ס י ח '
סמ עזה,ס מ   ע ז ה
טלחה בן אל-זוביר,ט ל ח ה   ב ן   א ל - ז ו ב י ר
כפר בבטיסטים,כ פ ר   ב ב ט י ס ט י ם
ישראל שחר,י ש ר א ל   ש ח ר
עין-אלמע'ארה,ע י ן - א ל מ ע ' א ר ה
מבוא חרוב,מ ב ו א   ח ר ו ב
מיכאל גל,מ י כ א ל   ג ל
יוסי בן יועזר,י ו ס י   ב ן   י ו ע ז ר
פטריארק לטין,פ ט ר י א ר ק   ל ט י ן
נצר ישי,נ צ ר   י ש י
פנזון,פ נ ז ו ן
אלנבי יוסף,א ל נ ב י   י ו ס ף
אבנר גרשון,א ב נ ר   ג ר ש ו ן
פונבז ישיבה,פ ו נ ב ז   י ש י ב ה
ככר הגנים,כ כ ר   ה ג נ י ם
יוסף נחמיאס,י ו ס ף   נ ח מ י א ס
ישיבה טוניס,י ש י ב ה   ט ו נ י ס
אלקוסיבה,א ל ק ו ס י ב ה
שכ אלחמראא,ש כ   א ל ח מ ר א א
נואר אלשמס,נ ו א ר   א ל ש מ ס
זיגמן,ז י ג מ ן
רח א תל גבורים,ר ח   א   ת ל   ג ב ו ר י ם
נמל חיפה,נ מ ל   ח י פ ה
עראקי,ע ר א ק י
חסיד גדליה,ח ס י ד   ג ד ל י ה
קיש מאחורי,ק י ש   מ א ח ו ר י
ככר כיאט,כ כ ר   כ י א ט
חיילים משוחררים,ח י י ל י ם   מ ש ו ח ר ר י ם
משה ברזאני,מ ש ה   ב ר ז א נ י
סיני,ס י נ י
שכ אגד,ש כ   א ג ד
רבי אברהם,ר ב י   א ב ר ה ם
רובינה,ר ו ב י נ ה
ככר סחארוב,כ כ ר   ס ח א ר ו ב
קריאון,ק ר י א ו ן
עיר גנים א ש,ע י ר   ג נ י ם   א   ש
תמר נוה מונוסון,ת מ ר   נ ו ה   מ ו נ ו ס ו ן
אל חס'יד,א ל   ח ס ' י ד
מע כפר נחמן,מ ע   כ פ ר   נ ח מ ן
ג'נין,ג ' נ י ן
הנענע,ה נ ע נ ע
אל צפא,א ל   צ פ א
אוריון ככר,א ו ר י ו ן   כ כ ר
ש אום קבאי,ש   א ו ם   ק ב א י
דרבלה,ד ר ב ל ה
קנט אל חדיר,ק נ ט   א ל   ח ד י ר
לובה אליאב,ל ו ב ה   א ל י א ב
אבן יצחק-גלעד,א ב ן   י צ ח ק - ג ל ע ד
הירדן מאחורי,ה י ר ד ן   מ א ח ו ר י
נוה זית,נ ו ה   ז י ת
אל תאח'ים,א ל   ת א ח ' י ם
שכ אל רם,ש כ   א ל   ר ם
תנאים,ת נ א י ם
שד הבונים,ש ד   ה ב ו נ י ם
שד האומה,ש ד   ה א ו מ ה
"שד מח""ל","ש ד   מ ח "" ל"
נחלת יעקב,נ ח ל ת   י ע ק ב
קדימה שכון,ק ד י מ ה   ש כ ו ן
רבי יוחנן,ר ב י   י ו ח נ ן
כפר עזריאל,כ פ ר   ע ז ר י א ל
סלמה ד,ס ל מ ה   ד
אברהם הרצפלד,א ב ר ה ם   ה ר צ פ ל ד
דונש,ד ו נ ש
המיסד,ה מ י ס ד
המלך עוזיהו,ה מ ל ך   ע ו ז י ה ו
נזרי,נ ז ר י
רח כיח,ר ח   כ י ח
אריה רז,א ר י ה   ר ז
הרוגי מלכות בבל,ה ר ו ג י   מ ל כ ו ת   ב ב ל
אל-עלמין,א ל - ע ל מ י ן
אל קוסיבה,א ל   ק ו ס י ב ה
הרב אבוחצירא,ה ר ב   א ב ו ח צ י ר א
רמתיים,ר מ ת י י ם
בית זרע,ב י ת   ז ר ע
אלקדר,א ל ק ד ר
הדרדר,ה ד ר ד ר
"בנ""צ כרמל","ב נ "" צ   כ ר מ ל"
"ארבל מ""ר","א ר ב ל   מ "" ר"
שער מנשה מלבן,ש ע ר   מ נ ש ה   מ ל ב ן
ש רגם,ש   ר ג ם
עמנואל זמיר,ע מ נ ו א ל   ז מ י ר
נתיב השומרון,נ ת י ב   ה ש ו מ ר ו ן
משעול הבננה,מ ש ע ו ל   ה ב נ נ ה
אל כראמה,א ל   כ ר א מ ה
גריק או פטרי,ג ר י ק   א ו   פ ט ר י
הזכרון,ה ז כ ר ו ן
חולות ג,ח ו ל ו ת   ג
התעש ביחר,ה ת ע ש   ב י ח ר
מבוא הורד,מ ב ו א   ה ו ר ד
התלמי,ה ת ל מ י
זכרון יעקוב,ז כ ר ו ן   י ע ק ו ב
ראש העין ש ב,ר א ש   ה ע י ן   ש   ב
לוי בן חביב,ל ו י   ב ן   ח ב י ב
קרוונים ש,ק ר ו ו נ י ם   ש
עירא שר,ע י ר א   ש ר
דרך דן,ד ר ך   ד ן
אבן ספיר,א ב ן   ס פ י ר
עצי הלבנון,ע צ י   ה ל ב נ ו ן
קציר,ק צ י ר
רומאנה,ר ו מ א נ ה
משעול חלבלוב,מ ש ע ו ל   ח ל ב ל ו ב
נוה ים,נ ו ה   י ם
רימלט,ר י מ ל ט
אל-סנדיאני,א ל - ס נ ד י א נ י
דר כהן היינץ,ד ר   כ ה ן   ה י י נ ץ
אלארשאד,א ל א ר ש א ד
אדמונד פלג,א ד מ ו נ ד   פ ל ג
ש כ אהרן חדש,ש   כ   א ה ר ן   ח ד ש
רח יג ר חיל,ר ח   י ג   ר   ח י ל
שושנת עמקים,ש ו ש נ ת   ע מ ק י ם
בית מלון עמי,ב י ת   מ ל ו ן   ע מ י
אודם צור יגאל,א ו ד ם   צ ו ר   י ג א ל
אל עוודה,א ל   ע ו ו ד ה
מעלה שניאור,מ ע ל ה   ש נ י א ו ר
שכ האור,ש כ   ה א ו ר
שביל הכרמלית,ש ב י ל   ה כ ר מ ל י ת
אריה שנקר,א ר י ה   ש נ ק ר
באב א-דיר,ב א ב   א - ד י ר
אלקבץ רונית,א ל ק ב ץ   ר ו נ י ת
בורג,ב ו ר ג
יקנעם ש,י ק נ ע ם   ש
קדושי לוצק,ק ד ו ש י   ל ו צ ק
מוע'ור אלע'ייט,מ ו ע ' ו ר   א ל ע ' י י ט
מסלאויטא האחים,מ ס ל א ו י ט א   ה א ח י ם
מרדכי קוסטליץ,מ ר ד כ י   ק ו ס ט ל י ץ
סירוצקין,ס י ר ו צ ק י ן
טבריה,ט ב ר י ה
אל-אבראר,א ל - א ב ר א ר
חיילים משוחרר דרוזי,ח י י ל י ם   מ ש ו ח ר ר   ד ר ו ז י
מדר זכריה,מ ד ר   ז כ ר י ה
הרב ברל,ה ר ב   ב ר ל
המחצבים,ה מ ח צ ב י ם
רבעון עבוד,ר ב ע ו ן   ע ב ו ד
אלרפיף,א ל ר פ י ף
הנריטה סולד,ה נ ר י ט ה   ס ו ל ד
דוד המלך,ד ו ד   ה מ ל ך
קרית שרה,ק ר י ת   ש ר ה
וולר,ו ו ל ר
מעלות אליהו,מ ע ל ו ת   א ל י ה ו
ארבע ארצות,א ר ב ע   א ר צ ו ת
בית ארנס,ב י ת   א ר נ ס
ש טוריים על,ש   ט ו ר י י ם   ע ל
מרגולין פנחס,מ ר ג ו ל י ן   פ נ ח ס
אהרון פינסון,א ה ר ו ן   פ י נ ס ו ן
גדנע,ג ד נ ע
חוש אלעג'לוני,ח ו ש   א ל ע ג ' ל ו נ י
שכ' הפרדס,ש כ '   ה פ ר ד ס
סייאראת חג'ה,ס י י א ר א ת   ח ג ' ה
האוהל,ה א ו ה ל
בית שוליה ל,ב י ת   ש ו ל י ה   ל
מעלה חלדיה,מ ע ל ה   ח ל ד י ה
גבל אלזיתון,ג ב ל   א ל ז י ת ו ן
נחל השועלים,נ ח ל   ה ש ו ע ל י ם
ש ק שפריינצק,ש   ק   ש פ ר י י נ צ ק
כלא מעשיהו,כ ל א   מ ע ש י ה ו
אוגרית,א ו ג ר י ת
ש חסכון,ש   ח ס כ ו ן
ככר הרב יהודה צדקה,כ כ ר   ה ר ב   י ה ו ד ה   צ ד ק ה
מוגאר,מ ו ג א ר
תל ליטוינסקי,ת ל   ל י ט ו י נ ס ק י
מקראי קודש,מ ק ר א י   ק ו ד ש
בנימין פיין,ב נ י מ י ן   פ י י ן
אלוף בן חור,א ל ו ף   ב ן   ח ו ר
עוזיאל נ און,ע ו ז י א ל   נ   א ו ן
ש אריה,ש   א ר י ה
הרב סומך עובדיה,ה ר ב   ס ו מ ך   ע ו ב ד י ה
ראס אל ח'ביה דרום,ר א ס   א ל   ח ' ב י ה   ד ר ו ם
סמ גבים,ס מ   ג ב י ם
משעול האקליפטוס,מ ש ע ו ל   ה א ק ל י פ ט ו ס
גב שמש ד רפת,ג ב   ש מ ש   ד   ר פ ת
האומנות,ה א ו מ נ ו ת
מאיר ומיכאל סגן כהן,מ א י ר   ו מ י כ א ל   ס ג ן   כ ה ן
דרך העליה,ד ר ך   ה ע ל י ה
עזניה,ע ז נ י ה
מפעלי נתן,מ פ ע ל י   נ ת ן
ענבל,ע נ ב ל
אל סיריאן,א ל   ס י ר י א ן
מקס נורדוי,מ ק ס   נ ו ר ד ו י
גבעת חיים א,ג ב ע ת   ח י י ם   א
לוין שמעון זאב,ל ו י ן   ש מ ע ו ן   ז א ב
אבו ד'ר אל ע'פארי,א ב ו   ד ' ר   א ל   ע ' פ א ר י
קסין,ק ס י ן
נפחא יצחק,נ פ ח א   י צ ח ק
שיח יוסף גדבאן,ש י ח   י ו ס ף   ג ד ב א ן
נתן קיזרמן,נ ת ן   ק י ז ר מ ן
אלקבריש,א ל ק ב ר י ש
ארדון,א ר ד ו ן
אלמוח'תאר,א ל מ ו ח ' ת א ר
אזור ג ב גו,א ז ו ר   ג   ב   ג ו
מנזל אלנור,מ נ ז ל   א ל נ ו ר
שכ בן גוריון,ש כ   ב ן   ג ו ר י ו ן
בית הסוכנות,ב י ת   ה ס ו כ נ ו ת
השריון,ה ש ר י ו ן
איסר ליש,א י ס ר   ל י ש
רחבת האלמוגים,ר ח ב ת   ה א ל מ ו ג י ם
פינקרפילד,פ י נ ק ר פ י ל ד
משעול רקפת,מ ש ע ו ל   ר ק פ ת
סוויאני,ס ו ו י א נ י
רובע הבנים,ר ו ב ע   ה ב נ י ם
דבורה ומנחם גילוץ,ד ב ו ר ה   ו מ נ ח ם   ג י ל ו ץ
בק ישראל,ב ק   י ש ר א ל
עין אל-מע'ארה,ע י ן   א ל - מ ע ' א ר ה
מצה זו,מ צ ה   ז ו
הנדל נחמה,ה נ ד ל   נ ח מ ה
בן גוביל מעאדי,ב ן   ג ו ב י ל   מ ע א ד י
פטיש,פ ט י ש
אלחורייה,א ל ח ו ר י י ה
ביח מאיר ביס,ב י ח   מ א י ר   ב י ס
סילור,ס י ל ו ר
דנינו,ד נ י נ ו
כביש חדש ש ג,כ ב י ש   ח ד ש   ש   ג
רופין ארתור,ר ו פ י ן   א ר ת ו ר
ההגנה ככר,ה ה ג נ ה   כ כ ר
שביל שועלים,ש ב י ל   ש ו ע ל י ם
גדסי חיים,ג ד ס י   ח י י ם
אל גינת אגוז,א ל   ג י נ ת   א ג ו ז
חורש,ח ו ר ש
כיכר בניטה אלי,כ י כ ר   ב נ י ט ה   א ל י
אל ג'ולן,א ל   ג ' ו ל ן
רבי חיא,ר ב י   ח י א
ש חס ים שד,ש   ח ס   י ם   ש ד
כלת עלם,כ ל ת   ע ל ם
שמואל נחמיאס,ש מ ו א ל   נ ח מ י א ס
"צפת צה""ל מ ק","צ פ ת   צ ה "" ל   מ   ק"
עין עקרבים,ע י ן   ע ק ר ב י ם
ווט ג'ימס,ו ו ט   ג ' י מ ס
רח יוד ש ער,ר ח   י ו ד   ש   ע ר
אל עקדה,א ל   ע ק ד ה
האדווה,ה א ד ו ו ה
ג'למה שמאליה,ג ' ל מ ה   ש מ א ל י ה
בלום ליאון,ב ל ו ם   ל י א ו ן
דורש טוב,ד ו ר ש   ט ו ב
משעול דרדר,מ ש ע ו ל   ד ר ד ר
גבעת ברק,ג ב ע ת   ב ר ק
"כי""ח - אליאנס","כ י "" ח   -   א ל י א נ ס"
רואוס אל- ג'יבל,ר ו א ו ס   א ל -   ג ' י ב ל
גד טדסקי,ג ד   ט ד ס ק י
אלשייח,א ל ש י י ח
גולינקין,ג ו ל י נ ק י ן
כיכר הצ'לו,כ י כ ר   ה צ ' ל ו
שביל יוחנן,ש ב י ל   י ו ח נ ן
טולדנו ניסים,ט ו ל ד נ ו   נ י ס י ם
האמאם אלמלכי,ה א מ א ם   א ל מ ל כ י
שמעון ישראלי,ש מ ע ו ן   י ש ר א ל י
בן שמןשיכון,ב ן   ש מ ן ש י כ ו ן
נששיבי רג'יב,נ ש ש י ב י   ר ג ' י ב
"גרשון ש""ץ","ג ר ש ו ן   ש "" ץ"
אל גאחז,א ל   ג א ח ז
שד הברושים רמת אפעל,ש ד   ה ב ר ו ש י ם   ר מ ת   א פ ע ל
עוסמאן,ע ו ס מ א ן
אליהו ששון,א ל י ה ו   ש ש ו ן
אל-מזבלה,א ל - מ ז ב ל ה
גלזר אחים,ג ל ז ר   א ח י ם
אל ביר אל שרקי,א ל   ב י ר   א ל   ש ר ק י
שעריה התחיה,ש ע ר י ה   ה ת ח י ה
ק מטרסדורף,ק   מ ט ר ס ד ו ר ף
לוסטרניק אביבה ומתת,ל ו ס ט ר נ י ק   א ב י ב ה   ו מ ת ת
ג'בל אל זיתון,ג ' ב ל   א ל   ז י ת ו ן
מלון שלום פלאזה,מ ל ו ן   ש ל ו ם   פ ל א ז ה
דוידסון,ד ו י ד ס ו ן
עדי עד,ע ד י   ע ד
חגלה סמטה,ח ג ל ה   ס מ ט ה
סיירת אגוז,ס י י ר ת   א ג ו ז
באקה א גרביה,ב א ק ה   א   ג ר ב י ה
קרית עבודה,ק ר י ת   ע ב ו ד ה
אפריאט,א פ ר י א ט
ח'אלת אל-דיר,ח ' א ל ת   א ל - ד י ר
גוגול,ג ו ג ו ל
סמטת הגרנות,ס מ ט ת   ה ג ר נ ו ת
בנימין צביאלי,ב נ י מ י ן   צ ב י א ל י
מ בריאות הנפש-מזרע,מ   ב ר י א ו ת   ה נ פ ש - מ ז ר ע
טורי,ט ו ר י
אל הציפור,א ל   ה צ י פ ו ר
פעמי משיח,פ ע מ י   מ ש י ח
סת נט'ירה,ס ת   נ ט ' י ר ה
בל גרהם,ב ל   ג ר ה ם
"מרכז רפואי ע""ש שיבא","מ ר כ ז   ר פ ו א י   ע "" ש   ש י ב א"
ההסתדרות  שד,ה ה ס ת ד ר ו ת     ש ד
ברין דר,ב ר י ן   ד ר
ע כרם א הרים,ע   כ ר ם   א   ה ר י ם
רפאל קרניבד,ר פ א ל   ק ר נ י ב ד
"בי""ח גהה","ב י "" ח   ג ה ה"
בית עולים ש,ב י ת   ע ו ל י ם   ש
שמואל טאג'יר,ש מ ו א ל   ט א ג ' י ר
מאיר עמית,מ א י ר   ע מ י ת
אליהו מפררה,א ל י ה ו   מ פ ר ר ה
אלנקוה הרב,א ל נ ק ו ה   ה ר ב
השכונה הותיקה,ה ש כ ו נ ה   ה ו ת י ק ה
עמדר מ אביב,ע מ ד ר   מ   א ב י ב
אל עגמי,א ל   ע ג מ י
אל עהד,א ל   ע ה ד
מלון נוטרדם,מ ל ו ן   נ ו ט ר ד ם
הכובש,ה כ ו ב ש
הרב עובדיה עוזרי,ה ר ב   ע ו ב ד י ה   ע ו ז ר י
חאן אל זית,ח א ן   א ל   ז י ת
עמוריא,ע מ ו ר י א
כפר התקווה,כ פ ר   ה ת ק ו ו ה
יעקב ופסיה פרלשטיין,י ע ק ב   ו פ ס י ה   פ ר ל ש ט י י ן
קדרון צור יגאל,ק ד ר ו ן   צ ו ר   י ג א ל
לנדאור,ל נ ד א ו ר
מרגליות,מ ר ג ל י ו ת
זילבר,ז י ל ב ר
הכוהן ברכה חבס,ה כ ו ה ן   ב ר כ ה   ח ב ס
שד נים,ש ד   נ י ם
שביל התפוזים צורן,ש ב י ל   ה ת פ ו ז י ם   צ ו ר ן
ריבלין יוסף,ר י ב ל י ן   י ו ס ף
ש אזבסט גב ב,ש   א ז ב ס ט   ג ב   ב
שכ נח ישראל,ש כ   נ ח   י ש ר א ל
אל-מג'יר,א ל - מ ג ' י ר
רח סז ק חיים,ר ח   ס ז   ק   ח י י ם
משעול שמשון,מ ש ע ו ל   ש מ ש ו ן
צוללני דקר,צ ו ל ל נ י   ד ק ר
החמניה,ה ח מ נ י ה
ניימן שמואל,נ י י מ ן   ש מ ו א ל
וילי ברנדט,ו י ל י   ב ר נ ד ט
נווה גנים,נ ו ו ה   ג נ י ם
צג בנות,צ ג   ב נ ו ת
קרסי,ק ר ס י
כיכר חתני פרס נובל,כ י כ ר   ח ת נ י   פ ר ס   נ ו ב ל
עמישב קומותי,ע מ י ש ב   ק ו מ ו ת י
משעול יוסף נשיא,מ ש ע ו ל   י ו ס ף   נ ש י א
ככר רזיל,כ כ ר   ר ז י ל
שירה חדשה,ש י ר ה   ח ד ש ה
אגמי אורי,א ג מ י   א ו ר י
שכ רמת טבריה א',ש כ   ר מ ת   ט ב ר י ה   א '
נחל משושים,נ ח ל   מ ש ו ש י ם
כיכר שרמן ארצי,כ י כ ר   ש ר מ ן   א ר צ י
שער השלשלת,ש ע ר   ה ש ל ש ל ת
זנג'ביל,ז נ ג ' ב י ל
"בי""ח הלל יפה","ב י "" ח   ה ל ל   י פ ה"
תל גבור,ת ל   ג ב ו ר
אל כסטל,א ל   כ ס ט ל
אלע'נאמה,א ל ע ' נ א מ ה
ארציאלי,א ר צ י א ל י
הנביא עדו,ה נ ב י א   ע ד ו
שכ אחווה,ש כ   א ח ו ו ה
כפר מסר,כ פ ר   מ ס ר
שלהוב גמיל,ש ל ה ו ב   ג מ י ל
שמשון שד,ש מ ש ו ן   ש ד
א-טור,א - ט ו ר
צלצל,צ ל צ ל
אליהו הנביא,א ל י ה ו   ה נ ב י א
אליעזר חיים,א ל י ע ז ר   ח י י ם
אבו הורירה,א ב ו   ה ו ר י ר ה
"קרפל ד""ר","ק ר פ ל   ד "" ר"
משעול תמירון,מ ש ע ו ל   ת מ י ר ו ן
הקבלן,ה ק ב ל ן
שפוני גדעון,ש פ ו נ י   ג ד ע ו ן
גני תקוה צר,ג נ י   ת ק ו ה   צ ר
ש עמק דותן,ש   ע מ ק   ד ו ת ן
עין אל ג'נאן,ע י ן   א ל   ג ' נ א ן
השכונה הצפונית,ה ש כ ו נ ה   ה צ פ ו נ י ת
גבעת טרומפלדור,ג ב ע ת   ט ר ו מ פ ל ד ו ר
גאולים ג,ג א ו ל י ם   ג
שד יצחק פניגר,ש ד   י צ ח ק   פ נ י ג ר
קט ש רסקו,ק ט   ש   ר ס ק ו
ש חסכון נשר,ש   ח ס כ ו ן   נ ש ר
קרמנצקי,ק ר מ נ צ ק י
"גרניט צ""י","ג ר נ י ט   צ "" י"
רחיים,ר ח י י ם
סימטת הרקפות,ס י מ ט ת   ה ר ק פ ו ת
"אבצ""ן","א ב צ "" ן"
עמידר חולות,ע מ י ד ר   ח ו ל ו ת
גולומב ביס,ג ו ל ו מ ב   ב י ס
ב פועל חקלאי,ב   פ ו ע ל   ח ק ל א י
חסאן בן תאבת,ח ס א ן   ב ן   ת א ב ת
אל חיר,א ל   ח י ר
ח'לת עלי,ח ' ל ת   ע ל י
סנהדריה המורחבת,ס נ ה ד ר י ה   ה מ ו ר ח ב ת
רמז ב זקנים,ר מ ז   ב   ז ק נ י ם
קדושי עירק,ק ד ו ש י   ע י ר ק
אחים קובוביץ,א ח י ם   ק ו ב ו ב י ץ
וריאו פרי,ו ר י א ו   פ ר י
שושנה שבבו,ש ו ש נ ה   ש ב ב ו
אל-סטח,א ל - ס ט ח
ירושבסקי,י ר ו ש ב ס ק י
המלאך,ה מ ל א ך
הזית,ה ז י ת
ניסנבוים יצחק,נ י ס נ ב ו י ם   י צ ח ק
יצחן בן צבי,י צ ח ן   ב ן   צ ב י
אהרן מסקין,א ה ר ן   מ ס ק י ן
מעלות הנזירות,מ ע ל ו ת   ה נ ז י ר ו ת
אל ג'ורון,א ל   ג ' ו ר ו ן
אבו מסנסל,א ב ו   מ ס נ ס ל
מאור יעקב,מ א ו ר   י ע ק ב
בב אל סילסילה,ב ב   א ל   ס י ל ס י ל ה
פני גולן,פ נ י   ג ו ל ן
בית חולים צרפתי,ב י ת   ח ו ל י ם   צ ר פ ת י
מחנה אריאל,מ ח נ ה   א ר י א ל
דרך ישראל פלד,ד ר ך   י ש ר א ל   פ ל ד
רח שטמפפר,ר ח   ש ט מ פ פ ר
שד ארלוזורוב,ש ד   א ר ל ו ז ו ר ו ב
פנקס דוד צבי,פ נ ק ס   ד ו ד   צ ב י
מע כורדני,מ ע   כ ו ר ד נ י
צחנובר אהרן,צ ח נ ו ב ר   א ה ר ן
זהבן,ז ה ב ן
החיננית,ה ח י נ נ י ת
עמנואל סלע,ע מ נ ו א ל   ס ל ע
עי ביס מזרח,ע י   ב י ס   מ ז ר ח
שכ חצרות הדר,ש כ   ח צ ר ו ת   ה ד ר
ז'ילבר,ז ' י ל ב ר
הרב יהודה שטרית,ה ר ב   י ה ו ד ה   ש ט ר י ת
ג'עפר א-סאדק,ג ' ע פ ר   א - ס א ד ק
שכ גבעת שמשון,ש כ   ג ב ע ת   ש מ ש ו ן
ש אחדות ח חי,ש   א ח ד ו ת   ח   ח י
שד קרן קימת,ש ד   ק ר ן   ק י מ ת
רמת דוד,ר מ ת   ד ו ד
יעקב טלמון,י ע ק ב   ט ל מ ו ן
החרמש סמטה,ה ח ר מ ש   ס מ ט ה
